"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238","backCorrLi7","backCorrBe9","backCorrB11","backCorrMg24","backCorrAl27","backCorrCa43","backCorrCa44","backCorrMn55","backCorrCu65","backCorrZn66","backCorrSr88","backCorrBa137"
"225",35.1411,4,0,5,1198.45,1585.55,5785.33,116517.55,705.93,3,4,20968.75,7,1,2,0,5,1179.45,1551.55,5774.33,116416.51,665.92,3,4,20968.75,7
"226",35.2972,4,0,4,965.54,1231.77,5404.4,106293.96,689.84,1,2,22889.79,4,0,2,0,4,946.54,1197.77,5393.4,106192.92,649.83,1,2,22889.79,4
"227",35.4532,5,0,1,1096.57,1293.36,4816.9,86027.41,590.35,4,4,20912.17,7,1,3,0,1,1077.57,1259.36,4805.9,85926.37,550.34,4,4,20912.17,7
"228",35.6092,7,0,3,1215.61,1549.12,5586.9,97624.9,784.38,1,3,17665.29,1,2,5,0,3,1196.61,1515.12,5575.9,97523.86,744.37,1,3,17665.29,1
"229",35.7652,5,0,3,1351.94,1523.82,6604.11,109714.43,984.75,1,2,21495.94,12,0,3,0,3,1332.94,1489.82,6593.11,109613.39,944.74,1,2,21495.94,12
"230",35.9212,7,0,3,1694.89,1646.29,6486.39,115352.42,1023.05,1,4,24911.94,11,1,5,0,3,1675.89,1612.29,6475.39,115251.38,983.04,1,4,24911.94,11
"231",36.0772,7,0,0,1378.21,1550.13,5338.76,91131.72,950.5,3,4,26267.21,13,2,5,0,0,1359.21,1516.13,5327.76,91030.68,910.49,3,4,26267.21,13
"232",36.2332,6,0,6,1927.06,1703.01,5945.34,85731.47,873.96,0,2,23321.82,23,0,4,0,6,1908.06,1669.01,5934.34,85630.43,833.95,0,2,23321.82,23
"233",36.3892,8,0,2,1912.86,1876.36,6407.61,104472.96,993.82,6,5,22068.73,7,1,6,0,2,1893.86,1842.36,6396.61,104371.92,953.81,6,5,22068.73,7
"234",36.5453,6,0,2,2106.8,2470.1,6016.51,113246.9,1251.05,3,5,25265.74,12,1,4,0,2,2087.8,2436.1,6005.51,113145.86,1211.04,3,5,25265.74,12
"235",36.7013,4,0,6,1819.54,1859.12,6738.79,128365.79,1271.25,8,5,29201.01,16,4,2,0,6,1800.54,1825.12,6727.79,128264.75,1231.24,8,5,29201.01,16
"236",36.8573,7,0,2,1920.98,1774.96,5374.18,95563.45,1148.1,2,6,28430.27,26,0,5,0,2,1901.98,1740.96,5363.18,95462.41,1108.09,2,6,28430.27,26
"237",37.0133,6,0,4,2179.98,1892.59,5440.88,102452.16,1203.6,4,5,21005.65,13,5,4,0,4,2160.98,1858.59,5429.88,102351.12,1163.59,4,5,21005.65,13
"238",37.1693,12,0,3,2469.04,2100.73,6163.17,122250.23,1422.82,5,10,23559.27,14,2,10,0,3,2450.04,2066.73,6152.17,122149.19,1382.81,5,10,23559.27,14
"239",37.3253,7,0,4,2496.55,2169.85,7231.3,117694.22,1709.28,7,9,26760.55,27,2,5,0,4,2477.55,2135.85,7220.3,117593.18,1669.27,7,9,26760.55,27
"240",37.4813,7,0,2,1997.1,1812.47,5706.97,96819.2,1588.75,4,8,27377.87,20,4,5,0,2,1978.1,1778.47,5695.97,96718.16,1548.74,4,8,27377.87,20
"241",37.6373,10,0,7,3004.04,1934.19,5238.81,96397.76,1585.71,5,8,31461.51,19,2,8,0,7,2985.04,1900.19,5227.81,96296.72,1545.7,5,8,31461.51,19
"242",37.7934,7,0,11,3119.69,2278.67,6206.15,107715.62,2013.64,6,15,25228.53,30,3,5,0,11,3100.69,2244.67,6195.15,107614.58,1973.63,6,15,25228.53,30
"243",37.9494,7,0,4,3192.41,2533.29,7229.19,122712.56,2485.79,6,7,30142.23,19,2,5,0,4,3173.41,2499.29,7218.19,122611.52,2445.78,6,7,30142.23,19
"244",38.1054,10,0,1,3036.78,2408.98,6815.66,115175.1,2690.85,3,8,30098.62,26,5,8,0,1,3017.78,2374.98,6804.66,115074.06,2650.84,3,8,30098.62,26
"245",38.2614,5,0,5,2881.33,2337.7,5613,106181.72,2698,2,18,34280.63,35,5,3,0,5,2862.33,2303.7,5602,106080.68,2657.99,2,18,34280.63,35
"246",38.4174,9,0,5,3379,2363.15,5593.17,96723.3,2350.27,5,8,28908.97,21,2,7,0,5,3360,2329.15,5582.17,96622.26,2310.26,5,8,28908.97,21
"247",38.5734,10,0,11,4091.89,2875.25,7108.8,108260.85,2546.96,6,8,42519.59,16,4,8,0,11,4072.89,2841.25,7097.8,108159.81,2506.95,6,8,42519.59,16
"248",38.7294,6,0,10,4141.41,3081.88,7092.96,125788.7,3320.3,5,15,33097.53,30,3,4,0,10,4122.41,3047.88,7081.96,125687.66,3280.29,5,15,33097.53,30
"249",38.8855,7,0,2,3454.94,2956.02,6728.26,130710.28,3116.29,6,12,33147.55,26,1,5,0,2,3435.94,2922.02,6717.26,130609.24,3076.28,6,12,33147.55,26
"250",39.0415,10,0,8,4407.9,2775.12,5426.29,93382.77,2557.16,5,10,31769.56,27,5,8,0,8,4388.9,2741.12,5415.29,93281.73,2517.15,5,10,31769.56,27
"251",39.1975,6,0,6,4356.21,3466.32,6124.39,109812.43,3198.27,9,14,30854.71,31,6,4,0,6,4337.21,3432.32,6113.39,109711.39,3158.26,9,14,30854.71,31
"252",39.3535,12,0,4,4291.12,3960.04,6683.01,108221.3,2970.91,12,276.3,27029.56,27,3,10,0,4,4272.12,3926.04,6672.01,108120.26,2930.9,12,276.3,27029.56,27
"253",39.5095,6,0,7,3801.34,3384.21,6704.06,118168.11,3332.61,7,15,33329.03,28,2,4,0,7,3782.34,3350.21,6693.06,118067.07,3292.6,7,15,33329.03,28
"254",39.6655,13,0,3,3546.34,3163.8,5098.37,99966.32,3267.99,2,23,34004.91,29,3,11,0,3,3527.34,3129.8,5087.37,99865.28,3227.98,2,23,34004.91,29
"255",39.8215,15,0,7,3861.05,3301.13,6030.12,95108.11,2852.27,7,17,31166.12,21,5,13,0,7,3842.05,3267.13,6019.12,95007.07,2812.26,7,17,31166.12,21
"256",39.9776,7,0,12,4149.67,4082.73,6368.76,111891.06,3213.64,7,13,24937.26,22,3,5,0,12,4130.67,4048.73,6357.76,111790.02,3173.63,7,13,24937.26,22
"257",40.1336,11,0,9,3984.66,3967.25,6745.11,117271.05,3478.4,6,19,26711.75,25,4,9,0,9,3965.66,3933.25,6734.11,117170.01,3438.39,6,19,26711.75,25
"258",40.2896,10,0,10,3760.18,3369.85,6047.92,109083.73,3443.47,4,19,29222.81,17,2,8,0,10,3741.18,3335.85,6036.92,108982.69,3403.46,4,19,29222.81,17
"259",40.4456,8,0,10,3305.16,3419.1,5640.14,98742.25,3140.88,4,16,29611.54,26,4,6,0,10,3286.16,3385.1,5629.14,98641.21,3100.87,4,16,29611.54,26
"260",40.6016,11,0,11,4054.77,3927.07,6000.81,98595.02,2897.26,7,11,24605.88,16,5,9,0,11,4035.77,3893.07,5989.81,98493.98,2857.25,7,11,24605.88,16
"261",40.7576,9,0,13,3833.25,4018.79,6467.47,116470.52,3321.33,7,14,25252.32,19,2,7,0,13,3814.25,3984.79,6456.47,116369.48,3281.32,7,14,25252.32,19
"262",40.9136,5,0,7,3509.36,4182.81,6845.15,119287.3,3410.62,7,13,27389.76,23,4,3,0,7,3490.36,4148.81,6834.15,119186.26,3370.61,7,13,27389.76,23
"263",41.0696,7,0,6,3009.15,3626.58,5931.73,115843.01,3255.68,3,16,26678.65,11,3,5,0,6,2990.15,3592.58,5920.73,115741.97,3215.67,3,16,26678.65,11
"264",41.2257,10,1,12,3241.6,3748.96,5368.97,90090.5,2591.85,5,8,25306.92,15,1,8,1,12,3222.6,3714.96,5357.97,89989.46,2551.84,5,8,25306.92,15
"265",41.3817,8,0,5,3183.19,3727.35,6019.65,108879.52,2847.16,2,15,22154.74,22,1,6,0,5,3164.19,3693.35,6008.65,108778.48,2807.15,2,15,22154.74,22
"266",41.5377,9,0,6,3207.78,4012.61,6698.79,110008.29,3232.1,3,17,24411.13,12,1,7,0,6,3188.78,3978.61,6687.79,109907.25,3192.09,3,17,24411.13,12
"267",41.6937,6,0,7,3192.41,4082.73,6365.61,108309.97,2886.01,3,16,26326.84,14,2,4,0,7,3173.41,4048.73,6354.61,108208.93,2846,3,16,26326.84,14
"268",41.8497,6,0,5,2687.27,3239.62,5193.02,100114.42,2949.43,4,8,29216.71,18,1,4,0,5,2668.27,3205.62,5182.02,100013.38,2909.42,4,8,29216.71,18
"269",42.0057,13,0,4,2653.59,3112.59,5590.03,92324.84,2471.51,7,6,19354.84,17,1,11,0,4,2634.59,3078.59,5579.03,92223.8,2431.5,7,6,19354.84,17
"270",42.1617,14,1,10,2439.49,3695.47,4106.04,71999.73,2005.51,5,15,15883.64,12,1,12,1,10,2420.49,3661.47,4095.04,71898.69,1965.5,5,15,15883.64,12
"271",42.3177,14,0,5,1915.9,2852.77,3110.9,52467.16,1815.72,8,40.01,13035.24,15,2,12,0,5,1896.9,2818.77,3099.9,52366.12,1775.71,8,40.01,13035.24,15
"272",42.4738,22,0,5,1373.16,9054.87,2201.55,42628.3,1634.32,11,24,8663.55,18,1,20,0,5,1354.16,9020.87,2190.55,42527.26,1594.31,11,24,8663.55,18
"273",42.6298,8,0,8,1643.24,10853.42,1924.18,45515.82,1237.93,10,30,7922.12,46.01,1,6,0,8,1624.24,10819.42,1913.18,45414.78,1197.92,10,30,7922.12,46.01
"274",42.7858,3,0,6,1641.21,3114.64,2098.86,35475.94,1375.31,6,22,6584.43,4,1,1,0,6,1622.21,3080.64,2087.86,35374.9,1335.3,6,22,6584.43,4
"275",42.9418,5,0,4,1324.66,2536.35,1814.62,35774.22,1285.39,8,13,6199.65,9,2,3,0,4,1305.66,2502.35,1803.62,35673.18,1245.38,8,13,6199.65,9
"276",43.0978,10,0,8,1129.85,6763.42,1598.8,27829.43,989.79,3,17,6305.72,10,1,8,0,8,1110.85,6729.42,1587.8,27728.39,949.78,3,17,6305.72,10
"277",43.2538,8,0,2,1038.09,1754,1281.3,40135.46,1105.73,3,15,5684.21,9,1,6,0,2,1019.09,1720,1270.3,40034.42,1065.72,3,15,5684.21,9
"278",43.4098,11,0,1,1349.92,743.1,1530.99,25179.65,758.23,6,11,5024.07,7,1,9,0,1,1330.92,709.1,1519.99,25078.61,718.22,6,11,5024.07,7
"279",43.5658,3,0,5,1441.89,1543.05,1557.3,26616.16,795.45,1,7,5174.99,5,2,1,0,5,1422.89,1509.05,1546.3,26515.12,755.44,1,7,5174.99,5
"280",43.7219,7,0,1,1046.16,900.09,1494.57,25717.02,768.29,1,10,5752.19,61.02,1,5,0,1,1027.16,866.09,1483.57,25615.98,728.28,1,10,5752.19,61.02
"281",43.8779,7,0,6,2045.84,728.02,1323.73,40294.12,764.26,3,7,5598.51,5,0,5,0,6,2026.84,694.02,1312.73,40193.08,724.25,3,7,5598.51,5
"282",44.0339,3,0,6,1072.37,561.2,1330.8,23188.81,766.28,2,4,5607.91,5,0,1,0,6,1053.37,527.2,1319.8,23087.77,726.27,2,4,5607.91,5
"283",44.1899,7,0,1,1094.55,450.78,1633.23,22921.23,733.08,3,2,5066.72,2,0,5,0,1,1075.55,416.78,1622.23,22820.19,693.07,3,2,5066.72,2
"284",44.3459,7,0,4,1016.93,328.41,1454.11,25445.27,816.58,1,9,5464.83,4,0,5,0,4,997.93,294.41,1443.11,25344.23,776.57,1,9,5464.83,4
"285",44.5019,3,0,0,1301.43,289.32,1354.04,23976.33,773.32,0,5,5777.3,1,1,1,0,0,1282.43,255.32,1343.04,23875.29,733.31,0,5,5777.3,1
"286",44.6579,4,0,1,753.16,242.22,1256.06,21792.33,718,0,6,5500.33,2,0,2,0,1,734.16,208.22,1245.06,21691.29,677.99,0,6,5500.33,2
"287",44.8139,5,0,1,848.74,245.23,1328.78,21395.94,693.87,0,3,4844.24,8,0,3,0,1,829.74,211.23,1317.78,21294.9,653.86,0,3,4844.24,8
"288",44.97,4,0,3,890.01,2731.21,1414.68,23443.38,794.45,3,10,5474.23,5,0,2,0,3,871.01,2697.21,1403.68,23342.34,754.44,3,10,5474.23,5
"289",45.126,2,0,1,1386.29,565.22,1411.65,26046.13,793.44,11,10,5366.75,7,0,0,0,1,1367.29,531.22,1400.65,25945.09,753.43,11,10,5366.75,7
