"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238","backCorrLi7","backCorrBe9","backCorrB11","backCorrMg24","backCorrAl27","backCorrCa43","backCorrCa44","backCorrMn55","backCorrCu65","backCorrZn66","backCorrSr88","backCorrBa137"
"225",35.1415,1,0,7,1613.88,233.21,7247.15,115610.43,759.23,6,7,29895.64,37.01,0,0,0,7,1595.88,202.21,7238.15,115519.4,716.22,6,7,29895.64,37.01
"226",35.2976,6,0,4,1827.65,321.39,8586.37,127041.39,781.37,2,7,23179.09,23,0,5,0,4,1809.65,290.39,8577.37,126950.36,738.36,2,7,23179.09,23
"227",35.4536,4,0,8,1935.18,364.51,8327.25,131870.5,1018.01,7,5,27651.45,31,0,3,0,8,1917.18,333.51,8318.25,131779.47,975,7,5,27651.45,31
"228",35.6096,5,0,5,1908.8,421.68,8122.87,136117.42,1032.12,7,5,27706.96,33,0,4,0,5,1890.8,390.68,8113.87,136026.39,989.11,7,5,27706.96,33
"229",35.7656,7,0,4,1478.29,383.56,6477.98,112508.5,1104.72,9,2,29670.86,48.01,1,6,0,4,1460.29,352.56,6468.98,112417.47,1061.71,9,2,29670.86,48.01
"230",35.9216,6,0,6,1823.6,456.8,6749.32,111141.49,919.27,6,5,22163.74,56.01,1,5,0,6,1805.6,425.8,6740.32,111050.46,876.26,6,5,22163.74,56.01
"231",36.0776,9,0,2,2185.06,473.86,7497.83,136268.58,1111.78,6,9,25117.21,65.02,0,8,0,2,2167.06,442.86,7488.83,136177.55,1068.77,6,9,25117.21,65.02
"232",36.2336,6,0,12,1979.84,606.4,7156.31,144394.25,1166.26,12,9,27015.22,76.02,1,5,0,12,1961.84,575.4,7147.31,144303.22,1123.25,12,9,27015.22,76.02
"233",36.3896,2,0,6,1692.86,547.14,6743,130694.2,1133.98,5,4,26487.88,70.02,2,1,0,6,1674.86,516.14,6734,130603.17,1090.97,5,4,26487.88,70.02
"234",36.5457,5,0,2,1878.36,479.88,5759.21,111132.28,1071.44,5,4,25905.63,73.02,0,4,0,2,1860.36,448.88,5750.21,111041.25,1028.43,5,4,25905.63,73.02
"235",36.7017,6,0,2,1958.52,594.35,6815.66,113687.75,902.15,6,3,19771.78,56.01,0,5,0,2,1940.52,563.35,6806.66,113596.72,859.14,6,3,19771.78,56.01
"236",36.8577,4,0,4,1920.98,590.33,7201.72,135286.06,1041.2,5,1,22132.17,53.01,1,3,0,4,1902.98,559.33,7192.72,135195.03,998.19,5,1,22132.17,53.01
"237",37.0137,8,0,3,1747.57,579.28,6725.11,120747.16,1007.93,3,2,26839.09,65.02,0,7,0,3,1729.57,548.28,6716.11,120656.13,964.92,3,2,26839.09,65.02
"238",37.1697,5,0,2,1542.02,535.09,5708.01,103327.11,847.78,7,6,27416.3,94.04,1,4,0,2,1524.02,504.09,5699.01,103236.08,804.77,7,6,27416.3,94.04
"239",37.3257,6,0,7,1616.91,622.48,6151.64,102599.52,737.11,6,2,23961.41,97.04,0,5,0,7,1598.91,591.48,6142.64,102508.49,694.1,6,2,23961.41,97.04
