"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238"
"650",101.4467,1,0,1,19,36,9,94.03,37.01,0,0,0,0,0
"651",101.6027,3,0,2,21,25,10,113.05,43.01,0,0,0,0,0
"652",101.7587,5,0,0,24,30,9,103.04,33,0,0,0,0,0
"653",101.9147,2,0,0,26,34,8,110.05,33,0,0,0,0,0
"654",102.0707,2,0,1,20,39.01,10,122.06,31,0,0,0,0,0
"655",102.2267,2,0,0,24,38.01,14,103.04,34,1,1,0,0,0
"656",102.3827,3,0,0,19,33,11,89.03,50.01,0,0,0,0,0
"657",102.5388,2,0,0,21,44.01,11,95.03,33,0,0,0,0,0
"658",102.6948,0,0,0,23,29,12,116.05,34,0,0,0,0,0
"659",102.8508,4,0,0,12,37.01,13,116.05,46.01,0,0,0,0,0
"660",103.0068,3,0,0,17,26,9,100.04,38.01,0,1,0,0,0
"661",103.1628,0,0,1,20,42.01,16,92.03,36.01,0,0,0,0,0
"662",103.3188,4,0,2,18,27,7,104.04,58.01,0,0,0,0,0
"663",103.4748,2,0,0,14,41.01,16,100.04,38.01,0,0,0,0,0
"664",103.6308,3,0,1,15,33,9,122.06,36.01,0,0,0,0,0
"665",103.7869,1,0,0,17,34,12,103.04,40.01,0,0,0,0,0
"666",103.9429,0,0,1,18,40.01,4,108.05,34,0,0,0,0,0
"667",104.0989,1,0,0,21,31,12,92.03,46.01,0,0,0,0,0
"668",104.2549,2,0,0,13,28,11,108.05,29,0,0,0,0,0
"669",104.4109,1,0,1,15,38.01,12,105.04,36.01,1,0,0,0,0
"670",104.5669,0,0,1,20,36,15,106.04,39.01,0,0,0,0,0
"671",104.7229,0,0,0,26,42.01,13,103.04,47.01,0,0,0,0,0
"672",104.879,0,0,0,16,34,8,91.03,39.01,0,0,0,0,0
"673",105.035,1,0,1,10,24,9,108.05,41.01,0,1,0,0,0
"674",105.191,0,0,1,19,30,13,84.03,46.01,0,0,0,0,0
"675",105.347,0,0,1,24,32,5,94.03,45.01,0,0,0,0,0
"676",105.503,1,0,0,13,42.01,14,103.04,44.01,0,0,0,0,0
"677",105.659,2,0,1,28,29,13,91.03,37.01,1,0,0,0,0
"678",105.815,2,0,3,12,27,11,116.05,36.01,0,0,0,0,0
"679",105.971,0,0,0,13,21,17,104.04,49.01,0,0,0,0,0
"680",106.1271,1,0,1,22,37.01,7,90.03,49.01,0,0,0,0,0
"681",106.2831,1,0,0,32,24,8,103.04,41.01,0,0,0,0,0
"682",106.4391,2,0,0,12,32,12,99.04,44.01,0,0,0,0,0
"683",106.5951,1,0,1,18,33,18,87.03,45.01,0,0,0,0,0
"684",106.7511,2,0,0,13,37.01,13,85.03,29,0,0,0,0,0
"685",106.9071,1,0,0,19,45.01,10,114.05,50.01,1,0,0,0,0
"686",107.0631,2,0,0,17,38.01,10,86.03,35,0,0,0,0,0
"687",107.2191,1,0,0,19,42.01,18,85.03,34,0,0,0,0,0
"688",107.3752,3,0,1,18,33,4,114.05,27,0,0,0,0,0
"689",107.5312,5,0,1,13,24,12,86.03,32,0,0,1,0,0
"690",107.6872,3,0,1,20,30,10,91.03,43.01,0,0,0,0,0
"691",107.8432,5,0,0,20,35,11,87.03,46.01,0,0,0,0,0
"692",107.9992,5,0,1,19,41.01,11,112.05,40.01,0,0,0,0,0
"693",108.1552,2,0,0,26,28,9,87.03,45.01,0,0,0,0,0
"694",108.3112,0,0,1,20,39.01,4,118.05,43.01,0,0,0,0,0
"695",108.4673,1,0,1,10,33,9,83.03,54.01,0,0,0,0,0
"696",108.6233,3,0,0,22,31,8,119.05,51.01,0,0,0,0,0
"697",108.7793,0,0,1,17,38.01,15,124.06,39.01,0,0,0,0,0
"698",108.9353,2,0,2,21,30,4,96.04,28,0,2,0,0,0
"699",109.0913,3,0,2,12,31,11,129.06,38.01,0,0,0,0,0
"700",109.2473,1,0,1,17,40.01,12,86.03,34,0,0,0,0,0
"701",109.4033,2,0,0,12,36,15,85.03,33,0,0,0,0,0
"702",109.5593,1,0,0,16,33,12,113.05,34,0,0,0,0,0
"703",109.7154,1,0,1,18,40.01,15,98.04,40.01,0,0,0,0,0
"704",109.8714,2,0,1,10,38.01,8,118.05,32,0,0,0,0,0
"705",110.0274,3,0,1,20,40.01,5,115.05,33,0,0,0,0,0
"706",110.1834,1,0,2,23,31,10,91.03,35,0,0,0,0,0
"707",110.3394,3,0,1,13,34,11,116.05,44.01,0,0,0,0,0
"708",110.4954,2,0,2,21,30,6,99.04,28,1,0,0,0,0
"709",110.6514,0,0,0,20,33,10,95.03,38.01,1,1,0,0,0
"710",110.8074,1,0,0,21,47.01,6,93.03,34,0,0,0,0,0
"711",110.9635,2,0,1,18,32,8,101.04,47.01,0,0,0,0,0
"712",111.1195,1,0,1,16,20,6,94.03,51.01,0,0,0,0,0
"713",111.2755,1,0,0,17,32,12,104.04,31,0,0,0,0,0
"714",111.4315,2,0,0,9,23,11,85.03,35,0,1,0,0,0
"715",111.5875,0,0,0,18,25,6,99.04,42.01,0,0,0,0,0
"716",111.7435,2,0,1,11,25,6,103.04,43.01,0,0,0,0,0
"717",111.8995,6,0,0,16,32,9,109.05,45.01,0,0,0,0,0
"718",112.0555,4,0,2,18,26,16,95.03,39.01,0,0,0,0,0
"719",112.2116,0,0,0,20,40.01,6,103.04,45.01,0,0,0,0,0
"720",112.3676,5,0,1,15,38.01,5,120.06,37.01,0,0,0,0,0
"721",112.5236,1,0,0,28,32,13,105.04,43.01,0,0,0,0,0
"722",112.6796,2,0,0,19,30,10,88.03,46.01,0,0,0,0,0
"723",112.8356,2,0,0,20,29,7,90.03,44.01,0,0,0,0,0
"724",112.9916,0,0,1,18,29,14,89.03,34,0,0,0,0,0
"725",113.1476,0,0,1,15,33,11,113.05,44.01,0,0,0,0,0
"726",113.3037,0,0,0,11,34,13,107.04,40.01,0,0,0,0,0
"727",113.4597,1,0,1,18,40.01,15,100.04,47.01,1,0,0,0,0
"728",113.6157,1,0,1,22,41.01,6,83.03,44.01,0,0,0,0,0
"729",113.7717,0,0,0,22,27,6,117.05,38.01,0,0,0,0,0
"730",113.9277,0,0,0,22,34,16,112.05,40.01,2,0,0,0,0
"731",114.0837,2,0,0,19,38.01,10,102.04,34,0,0,0,0,0
"732",114.2397,0,0,3,21,31,10,109.05,36.01,0,0,0,0,0
"733",114.3957,2,0,2,17,25,8,104.04,37.01,0,2,0,0,0
"734",114.5518,0,0,2,17,47.01,9,80.02,27,0,0,0,0,0
"735",114.7078,2,0,1,24,34,14,130.07,50.01,0,0,0,0,0
"736",114.8638,2,0,1,20,41.01,11,88.03,50.01,0,0,0,0,0
"737",115.0198,0,0,0,12,34,11,92.03,40.01,0,0,0,0,0
"738",115.1758,2,0,0,11,33,10,83.03,36.01,0,0,1,0,0
"739",115.3318,2,0,1,24,23,9,85.03,42.01,0,0,0,0,0
"740",115.4878,1,0,0,18,38.01,7,106.04,27,0,0,0,0,0
"741",115.6438,3,0,2,14,35,13,91.03,32,0,0,1,0,0
"742",115.7999,6,0,1,19,46.01,9,104.04,50.01,1,0,0,0,0
"743",115.9559,3,0,1,20,35,9,104.04,36.01,0,0,0,0,0
"744",116.1119,1,0,0,25,42.01,8,101.04,48.01,0,0,0,0,0
"745",116.2679,5,0,0,18,34,4,98.04,33,0,0,0,0,0
"746",116.4239,1,0,1,12,30,9,114.05,31,0,0,0,0,0
"747",116.5799,1,0,1,26,42.01,8,102.04,38.01,0,0,0,0,0
"748",116.7359,6,0,1,20,32,6,99.04,30,0,0,0,0,0
"749",116.892,2,0,2,18,42.01,8,101.04,38.01,0,0,0,0,0
"750",117.048,5,0,1,29,31,14,101.04,45.01,0,0,0,0,0
"751",117.204,3,0,0,22,29,8,77.02,43.01,0,0,0,0,0
"752",117.36,2,0,2,16,33,8,92.03,47.01,0,0,0,0,0
"753",117.516,0,0,0,31,42.01,9,98.04,38.01,0,0,0,0,0
"754",117.672,0,0,0,21,36,12,95.03,36.01,0,0,0,0,0
"755",117.828,0,0,0,23,42.01,10,91.03,30,0,1,0,0,0
"756",117.984,1,0,0,16,34,8,98.04,39.01,0,0,0,0,0
"757",118.1401,0,0,0,22,35,12,100.04,31,0,1,0,0,0
"758",118.2961,1,0,2,21,30,7,115.05,38.01,0,0,0,0,0
"759",118.4521,1,0,1,18,38.01,14,89.03,39.01,1,0,0,0,0
"760",118.6081,2,0,0,16,35,12,103.04,34,0,1,0,0,0
"761",118.7641,1,0,2,26,21,3,107.04,42.01,0,1,0,0,0
"762",118.9201,2,0,2,17,33,12,98.04,46.01,0,0,0,0,0
"763",119.0761,1,0,0,18,33,6,93.03,31,0,0,0,0,0
"764",119.2321,0,0,1,30,26,13,109.05,43.01,1,0,0,0,0
"765",119.3882,1,0,1,18,45.01,9,86.03,46.01,0,0,0,0,0
"766",119.5442,2,0,1,30,35,7,100.04,28,0,0,0,0,0
"767",119.7002,0,0,1,15,33,15,104.04,39.01,0,0,0,0,0
"768",119.8562,0,0,0,14,37.01,8,103.04,27,0,0,0,0,0
"769",120.0122,2,0,0,18,23,12,108.05,47.01,0,0,0,0,0
