"","Time","Li7","Be9","B11","Mg24","Al27","Ca43","Ca44","Mn55","Cu65","Zn66","Sr88","Ba137","U238","backCorrLi7","backCorrBe9","backCorrB11","backCorrMg24","backCorrAl27","backCorrCa43","backCorrCa44","backCorrMn55","backCorrCu65","backCorrZn66","backCorrSr88","backCorrBa137","Ca44sma","Ca44dydt","Ca44Scaled"
"248",38.7294,6,0,10,4141.41,3081.88,7092.96,125788.7,3320.3,5,15,33097.53,30,3,4,0,10,4122.41,3047.88,7081.96,125687.66,3280.29,5,15,33097.53,30,109810.706,0.886544384012376,0.965934241903739
"249",38.8855,7,0,2,3454.94,2956.02,6728.26,130710.28,3116.29,6,12,33147.55,26,1,5,0,2,3435.94,2922.02,6717.26,130609.24,3076.28,6,12,33147.55,26,110425.934,0.851228520548356,0.971478301428657
"250",39.0415,10,0,8,4407.9,2775.12,5426.29,93382.77,2557.16,5,10,31769.56,27,5,8,0,8,4388.9,2741.12,5415.29,93281.73,2517.15,5,10,31769.56,27,113532.97,0.877863812866104,0.999477014962602
"251",39.1975,6,0,6,4356.21,3466.32,6124.39,109812.43,3198.27,9,14,30854.71,31,6,4,0,6,4337.21,3432.32,6113.39,109711.39,3158.26,9,14,30854.71,31,110973.18,0.922899452896546,0.976409748629976
"252",39.3535,12,0,4,4291.12,3960.04,6683.01,108221.3,2970.91,12,276.3,27029.56,27,3,10,0,4,4272.12,3926.04,6672.01,108120.26,2930.9,12,276.3,27029.56,27,113591.006,0.95234300007017,1
"253",39.5095,6,0,7,3801.34,3384.21,6704.06,118168.11,3332.61,7,15,33329.03,28,2,4,0,7,3782.34,3350.21,6693.06,118067.07,3292.6,7,15,33329.03,28,113583.096,0.93960327615206,0.999928719904097
"254",39.6655,13,0,3,3546.34,3163.8,5098.37,99966.32,3267.99,2,23,34004.91,29,3,11,0,3,3527.34,3129.8,5087.37,99865.28,3227.98,2,23,34004.91,29,112058.978,0.920185215606791,0.986194298006852
"255",39.8215,15,0,7,3861.05,3301.13,6030.12,95108.11,2852.27,7,17,31166.12,21,5,13,0,7,3842.05,3267.13,6019.12,95007.07,2812.26,7,17,31166.12,21,105910.186,0.852379069807931,0.930785134486437
"256",39.9776,7,0,12,4149.67,4082.73,6368.76,111891.06,3213.64,7,13,24937.26,22,3,5,0,12,4130.67,4048.73,6357.76,111790.02,3173.63,7,13,24937.26,22,106255.254,0.834034439151919,0.933894676854704
"257",40.1336,11,0,9,3984.66,3967.25,6745.11,117271.05,3478.4,6,19,26711.75,25,4,9,0,9,3965.66,3933.25,6734.11,117170.01,3438.39,6,19,26711.75,25,106670.98,0.838245717487804,0.937640946026549
"258",40.2896,10,0,10,3760.18,3369.85,6047.92,109083.73,3443.47,4,19,29222.81,17,2,8,0,10,3741.18,3335.85,6036.92,108982.69,3403.46,4,19,29222.81,17,108480.93,0.858675302296968,0.953951111586512
"259",40.4456,8,0,10,3305.16,3419.1,5640.14,98742.25,3140.88,4,16,29611.54,26,4,6,0,10,3286.16,3385.1,5629.14,98641.21,3100.87,4,16,29611.54,26,106664.054,0.829460366514157,0.937578533138531
"260",40.6016,11,0,11,4054.77,3927.07,6000.81,98595.02,2897.26,7,11,24605.88,16,5,9,0,11,4035.77,3893.07,5989.81,98493.98,2857.25,7,11,24605.88,16,106419.24,0.789198662675285,0.935372418676034
"261",40.7576,9,0,13,3833.25,4018.79,6467.47,116470.52,3321.33,7,14,25252.32,19,2,7,0,13,3814.25,3984.79,6456.47,116369.48,3281.32,7,14,25252.32,19,107116.622,0.828323114669338,0.941656799945427
"262",40.9136,5,0,7,3509.36,4182.81,6845.15,119287.3,3410.62,7,13,27389.76,23,4,3,0,7,3490.36,4148.81,6834.15,119186.26,3370.61,7,13,27389.76,23,108032.514,0.807879848216094,0.949910260071423
"263",41.0696,7,0,6,3009.15,3626.58,5931.73,115843.01,3255.68,3,16,26678.65,11,3,5,0,6,2990.15,3592.58,5920.73,115741.97,3215.67,3,16,26678.65,11,108435.764,0.812818614017186,0.953544103140046
"264",41.2257,10,1,12,3241.6,3748.96,5368.97,90090.5,2591.85,5,8,25306.92,15,1,8,1,12,3222.6,3714.96,5357.97,89989.46,2551.84,5,8,25306.92,15,109787.62,0.847365946023021,0.965726204951272
"265",41.3817,8,0,5,3183.19,3727.35,6019.65,108879.52,2847.16,2,15,22154.74,22,1,6,0,5,3164.19,3693.35,6008.65,108778.48,2807.15,2,15,22154.74,22,108057.27,0.900435922672717,0.950133346045401
"266",41.5377,9,0,6,3207.78,4012.61,6698.79,110008.29,3232.1,3,17,24411.13,12,1,7,0,6,3188.78,3978.61,6687.79,109907.25,3192.09,3,17,24411.13,12,110114.17,0.920999734793901,0.968668874397172
"267",41.6937,6,0,7,3192.41,4082.73,6365.61,108309.97,2886.01,3,16,26326.84,14,2,4,0,7,3173.41,4048.73,6354.61,108208.93,2846,3,16,26326.84,14,108821.724,0.900481538821572,0.957022139273377
"268",41.8497,6,0,5,2687.27,3239.62,5193.02,100114.42,2949.43,4,8,29216.71,18,1,4,0,5,2668.27,3205.62,5182.02,100013.38,2909.42,4,8,29216.71,18,106626.258,0.852369340261529,0.937237938637299
"269",42.0057,13,0,4,2653.59,3112.59,5590.03,92324.84,2471.51,7,6,19354.84,17,1,11,0,4,2634.59,3078.59,5579.03,92223.8,2431.5,7,6,19354.84,17,103480.54,0.836407574952027,0.90889064651047
